Geoid,Tract,Year,type,County,CRA Eligible
6041150701,1507.01,2010,mid,Sonoma County,not eligible
6041150702,1507.02,2010,high,Sonoma County,not eligible
6041150800,1508.0,2010,mid,Sonoma County,not eligible
6041150901,1509.01,2010,mid,Sonoma County,not eligible
6041150902,1509.02,2010,mid,Sonoma County,not eligible
6041151000,1510.0,2010,mid,Sonoma County,not eligible
6041151100,1511.0,2010,mid,Sonoma County,not eligible
6041151201,1512.01,2010,mid,Sonoma County,not eligible
6041151203,1512.03,2010,mid,Sonoma County,not eligible
6041151204,1512.04,2010,mid,Sonoma County,not eligible
6041151301,1513.01,2010,mid,Sonoma County,not eligible
6041151305,1513.05,2010,mod,Sonoma County,eligible
6041151306,1513.06,2010,mid,Sonoma County,not eligible
6041151307,1513.07,2010,mid,Sonoma County,not eligible
6041151308,1513.08,2010,mid,Sonoma County,not eligible
6041151309,1513.09,2010,high,Sonoma County,not eligible
6041151310,1513.1,2010,mid,Sonoma County,not eligible
6041151311,1513.11,2010,mid,Sonoma County,not eligible
6041151401,1514.01,2010,mid,Sonoma County,not eligible
6041151402,1514.02,2010,mod,Sonoma County,eligible
6041151502,1515.02,2010,mid,Sonoma County,not eligible
6041151503,1515.03,2010,high,Sonoma County,not eligible
6041151504,1515.04,2010,mid,Sonoma County,not eligible
6041151600,1516.0,2010,mid,Sonoma County,not eligible
6041151700,1517.0,2010,mid,Sonoma County,not eligible
6041151800,1518.0,2010,mid,Sonoma County,not eligible
6041151900,1519.0,2010,mod,Sonoma County,eligible
6041152000,1520.0,2010,mod,Sonoma County,eligible
6041152100,1521.0,2010,mod,Sonoma County,eligible
6041152201,1522.01,2010,mid,Sonoma County,not eligible
6041152202,1522.02,2010,mid,Sonoma County,not eligible
6041152203,1522.03,2010,mid,Sonoma County,not eligible
6041152300,1523.0,2010,high,Sonoma County,not eligible
6041152400,1524.0,2010,high,Sonoma County,not eligible
6041152501,1525.01,2010,mid,Sonoma County,not eligible
6041152502,1525.02,2010,mid,Sonoma County,not eligible
6041152600,1526.0,2010,high,Sonoma County,not eligible
6041152701,1527.01,2010,mid,Sonoma County,not eligible
6041152702,1527.02,2010,mid,Sonoma County,not eligible
6041152801,1528.01,2010,high,Sonoma County,not eligible
6041152802,1528.02,2010,mod,Sonoma County,eligible
6041152901,1529.01,2010,mid,Sonoma County,not eligible
6041152903,1529.03,2010,mid,Sonoma County,not eligible
6041152904,1529.04,2010,mid,Sonoma County,not eligible
6041153001,1530.01,2010,mid,Sonoma County,not eligible
6041153002,1530.02,2010,mod,Sonoma County,eligible
6041153003,1530.03,2010,mid,Sonoma County,not eligible
6041153005,1530.05,2010,mid,Sonoma County,not eligible
6041153006,1530.06,2010,mid,Sonoma County,not eligible
6041153101,1531.01,2010,mod,Sonoma County,eligible
6041153102,1531.02,2010,mod,Sonoma County,eligible
6041153200,1532.0,2010,mid,Sonoma County,not eligible
6041153300,1533.0,2010,mid,Sonoma County,not eligible
6041153401,1534.01,2010,mid,Sonoma County,not eligible
6041153403,1534.03,2010,mid,Sonoma County,not eligible
6041153404,1534.04,2010,mid,Sonoma County,not eligible
6041153501,1535.01,2010,high,Sonoma County,not eligible
6041153502,1535.02,2010,mid,Sonoma County,not eligible
6041153600,1536.0,2010,mid,Sonoma County,not eligible
6041153703,1537.03,2010,mod,Sonoma County,eligible
6041153704,1537.04,2010,mod,Sonoma County,eligible
6041153705,1537.05,2010,mid,Sonoma County,not eligible
6041153706,1537.06,2010,mid,Sonoma County,not eligible
6041153801,1538.01,2010,mid,Sonoma County,not eligible
6041153802,1538.02,2010,high,Sonoma County,not eligible
6041153803,1538.03,2010,mid,Sonoma County,not eligible
6041153901,1539.01,2010,mid,Sonoma County,not eligible
6041153902,1539.02,2010,mid,Sonoma County,not eligible
6041153903,1539.03,2010,mid,Sonoma County,not eligible
6041154000,1540.0,2010,mid,Sonoma County,not eligible
6041154100,1541.0,2010,mid,Sonoma County,not eligible
6041154200,1542.0,2010,mid,Sonoma County,not eligible
6041154301,1543.01,2010,mid,Sonoma County,not eligible
6041154302,1543.02,2010,mid,Sonoma County,not eligible
6081500100,5001.0,2013,mod,Santa Clara County,eligible
