Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6087122400,"Census Tract 1224, Santa Cruz County, California",6888,547,5872,5662,10,53,1016,823,0,17,17
6087122500,"Census Tract 1225, Santa Cruz County, California",5673,540,1925,1232,335,201,3748,2376,0,13,60
6087123100,"Census Tract 1231, Santa Cruz County, California",2438,268,1282,1238,0,18,1156,940,0,9,15
6087123300,"Census Tract 1233, Santa Cruz County, California",1430,231,521,509,0,0,909,820,0,6,0
6089010100,"Census Tract 101, Shasta County, California",1287,279,1249,1037,0,28,38,38,0,0,0
6089010200,"Census Tract 102, Shasta County, California",2517,276,2490,2250,24,186,27,27,0,0,0
6089010300,"Census Tract 103, Shasta County, California",4236,577,3823,3500,12,175,413,243,0,49,63
6089010400,"Census Tract 104, Shasta County, California",4047,371,3459,3268,73,9,588,452,0,0,0
6089010500,"Census Tract 105, Shasta County, California",4388,359,4013,3575,88,13,375,162,0,14,0
6089010600,"Census Tract 106, Shasta County, California",9597,440,8933,7824,111,280,664,371,0,43,0
6089010701,"Census Tract 107.01, Shasta County, California",7394,557,6698,6034,0,84,696,467,0,9,29
6089010702,"Census Tract 107.02, Shasta County, California",3920,381,3668,3386,109,93,252,206,0,10,0
6089010801,"Census Tract 108.01, Shasta County, California",8237,690,7583,7035,35,193,654,520,0,0,0
6089010802,"Census Tract 108.02, Shasta County, California",12156,789,11331,9945,222,761,825,482,0,0,0
6089010900,"Census Tract 109, Shasta County, California",3971,403,3753,3378,17,28,218,195,0,19,0
6089011000,"Census Tract 110, Shasta County, California",7008,456,6526,6218,0,129,482,359,8,0,12
6089011100,"Census Tract 111, Shasta County, California",2877,233,2631,2487,0,42,246,92,0,25,0
6089011200,"Census Tract 112, Shasta County, California",5950,722,5101,4141,262,321,849,417,0,0,0
6089011300,"Census Tract 113, Shasta County, California",5330,449,4885,4536,142,0,445,339,0,17,0
6089011400,"Census Tract 114, Shasta County, California",10320,458,9332,8804,8,279,988,733,0,5,0
6089011500,"Census Tract 115, Shasta County, California",5668,550,5209,4540,61,46,459,309,0,53,0
6089011600,"Census Tract 116, Shasta County, California",4215,549,3780,3350,60,0,435,178,0,0,0
6089011700,"Census Tract 117, Shasta County, California",8632,369,7913,6724,71,387,719,396,0,0,8
6089011800,"Census Tract 118, Shasta County, California",8634,640,8433,7737,63,107,201,141,0,0,0
6089011900,"Census Tract 119, Shasta County, California",4851,344,4609,4163,66,208,242,142,0,0,0
6089012000,"Census Tract 120, Shasta County, California",5099,424,4664,3951,0,350,435,332,0,0,0
6089012100,"Census Tract 121, Shasta County, California",7213,517,6500,5754,203,186,713,375,0,26,28
6089012200,"Census Tract 122, Shasta County, California",5160,464,4653,4266,14,82,507,278,0,0,0
6089012301,"Census Tract 123.01, Shasta County, California",2549,288,2420,2220,17,63,129,55,18,0,0
6089012302,"Census Tract 123.02, Shasta County, California",5566,359,5087,4700,55,142,479,387,0,0,0
6089012303,"Census Tract 123.03, Shasta County, California",3889,379,3633,3301,12,0,256,197,0,0,0
6089012400,"Census Tract 124, Shasta County, California",4159,391,3903,3795,0,8,256,147,0,0,0
6089012500,"Census Tract 125, Shasta County, California",1348,210,1299,1217,0,5,49,49,0,0,0
6089012601,"Census Tract 126.01, Shasta County, California",4593,345,4391,3915,21,90,202,91,0,2,0
6089012602,"Census Tract 126.02, Shasta County, California",6338,485,6119,5799,0,28,219,181,0,0,0
6089012701,"Census Tract 127.01, Shasta County, California",4498,450,4152,3600,0,97,346,158,0,0,0
6089012702,"Census Tract 127.02, Shasta County, California",3740,488,3293,3038,13,102,447,203,0,0,0
6091010000,"Census Tract 100, Sierra County, California",3240,159,2860,2782,24,0,380,251,0,0,0
6093000100,"Census Tract 1, Siskiyou County, California",1395,215,729,589,46,11,666,549,0,45,0
6093000200,"Census Tract 2, Siskiyou County, California",1727,176,1384,1242,0,51,343,173,0,0,0
6093000300,"Census Tract 3, Siskiyou County, California",3784,328,3395,2906,51,48,389,187,0,0,0
6093000400,"Census Tract 4, Siskiyou County, California",835,124,764,719,0,17,71,68,0,0,0
6093000500,"Census Tract 5, Siskiyou County, California",2070,186,1918,1399,5,76,152,41,0,7,0
6093000600,"Census Tract 6, Siskiyou County, California",1558,183,1484,1373,0,45,74,33,0,9,0
6093000701,"Census Tract 7.01, Siskiyou County, California",3678,385,3456,3189,45,30,222,184,0,8,0
6093000702,"Census Tract 7.02, Siskiyou County, California",4105,392,3518,3099,0,35,587,534,0,25,0
6093000703,"Census Tract 7.03, Siskiyou County, California",3532,280,3329,3109,18,11,203,113,0,0,0
6093000800,"Census Tract 8, Siskiyou County, California",3439,516,3337,3083,0,21,102,63,3,4,0
6093000900,"Census Tract 9, Siskiyou County, California",7280,420,6634,5868,293,100,646,369,0,0,0
6093001000,"Census Tract 10, Siskiyou County, California",6988,402,6426,6091,28,117,562,258,0,0,0
6093001100,"Census Tract 11, Siskiyou County, California",2515,248,2295,1891,114,51,220,151,0,0,0
6093001200,"Census Tract 12, Siskiyou County, California",1498,218,1432,1317,13,38,66,60,0,0,0
6095250101,"Census Tract 2501.01, Solano County, California",7288,531,5857,2302,1296,2087,1431,76,0,20,80
6095250102,"Census Tract 2501.02, Solano County, California",10631,559,9923,1601,1271,6337,708,220,10,0,0
6095250200,"Census Tract 2502, Solano County, California",3277,500,2891,1659,242,670,386,179,0,0,0
6095250300,"Census Tract 2503, Solano County, California",3004,459,2385,890,606,665,619,209,0,0,0
6095250400,"Census Tract 2504, Solano County, California",3436,542,2776,1401,1017,179,660,377,0,0,0
6095250501,"Census Tract 2505.01, Solano County, California",2101,252,1639,1272,183,92,462,24,18,0,0
6095250502,"Census Tract 2505.02, Solano County, California",3540,197,2974,1405,528,859,566,368,0,0,11
6095250601,"Census Tract 2506.01, Solano County, California",4619,470,2936,982,1383,337,1683,710,29,0,0
6095250603,"Census Tract 2506.03, Solano County, California",7654,439,6995,2472,1285,2830,659,167,15,16,51
6095250701,"Census Tract 2507.01, Solano County, California",2848,318,1758,630,816,303,1090,629,0,56,0
6095250702,"Census Tract 2507.02, Solano County, California",2655,428,2407,739,1330,216,248,83,37,12,10
6095250800,"Census Tract 2508, Solano County, California",307,164,299,141,25,52,8,0,0,0,0
6095250900,"Census Tract 2509, Solano County, California",2586,277,2153,622,900,364,433,203,0,104,10
6095251000,"Census Tract 2510, Solano County, California",2445,417,2022,962,637,91,423,91,0,0,0
6095251100,"Census Tract 2511, Solano County, California",3247,467,1961,1053,401,280,1286,568,0,23,9
6095251200,"Census Tract 2512, Solano County, California",3994,545,3195,1524,1057,315,799,308,18,0,0
6095251300,"Census Tract 2513, Solano County, California",2938,306,2484,1917,208,202,454,325,0,0,0
6095251400,"Census Tract 2514, Solano County, California",5360,531,4301,2340,737,602,1059,365,17,0,91
6095251500,"Census Tract 2515, Solano County, California",3417,471,1990,1065,593,143,1427,389,29,0,0
6095251600,"Census Tract 2516, Solano County, California",2783,445,1496,955,254,202,1287,456,4,0,0
6095251701,"Census Tract 2517.01, Solano County, California",3412,369,2688,1174,641,623,724,392,0,52,13
6095251702,"Census Tract 2517.02, Solano County, California",2273,306,2017,327,924,527,256,214,0,0,0
6095251802,"Census Tract 2518.02, Solano County, California",2593,453,2041,752,888,333,552,212,13,0,0
6095251803,"Census Tract 2518.03, Solano County, California",5360,608,2749,524,729,1160,2611,1120,0,0,40
6095251804,"Census Tract 2518.04, Solano County, California",3557,360,2938,531,226,1870,619,142,0,16,0
6095251901,"Census Tract 2519.01, Solano County, California",5093,580,4443,1270,1489,1374,650,318,0,0,0
6095251902,"Census Tract 2519.02, Solano County, California",5841,492,4116,694,1542,1411,1725,646,0,0,55
6095251903,"Census Tract 2519.03, Solano County, California",5020,630,3742,241,2143,1057,1278,558,107,0,10
6095252000,"Census Tract 2520, Solano County, California",4471,388,3999,3642,19,153,472,248,0,0,0
6095252102,"Census Tract 2521.02, Solano County, California",3255,414,2890,2478,0,316,365,162,0,0,21
6095252103,"Census Tract 2521.03, Solano County, California",5295,372,4296,957,1110,1939,999,392,0,0,30
6095252104,"Census Tract 2521.04, Solano County, California",5126,337,4545,3004,352,924,581,219,0,0,9
6095252105,"Census Tract 2521.05, Solano County, California",3340,265,2877,2355,74,189,463,112,0,0,23
6095252106,"Census Tract 2521.06, Solano County, California",4051,310,3488,2570,274,345,563,371,0,0,0
6095252107,"Census Tract 2521.07, Solano County, California",3210,245,2860,2348,83,321,350,219,0,0,0
6095252108,"Census Tract 2521.08, Solano County, California",2990,262,2684,2301,0,150,306,132,0,0,8
6095252201,"Census Tract 2522.01, Solano County, California",8320,506,7253,4792,371,1587,1067,398,0,20,26
6095252202,"Census Tract 2522.02, Solano County, California",10204,503,8420,4576,1034,2285,1784,760,44,0,158
6095252305,"Census Tract 2523.05, Solano County, California",4734,281,4069,2762,384,731,665,327,0,14,18
6095252306,"Census Tract 2523.06, Solano County, California",3352,415,2883,1934,100,602,469,160,0,0,0
6095252307,"Census Tract 2523.07, Solano County, California",11202,773,9492,5531,1644,1868,1710,1057,0,0,0
6095252308,"Census Tract 2523.08, Solano County, California",9087,621,7271,3665,1550,1203,1816,591,0,0,0
