GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06067006101,06067006101,"Census Tract 61.01, Sacramento County, California",2392,75,898,165,71,47,78,50,305,165,151,111,259,135,199,119,169,99,144,71,118,89
1400000US06067006102,06067006102,"Census Tract 61.02, Sacramento County, California",1937,73,634,114,105,45,162,105,245,102,182,112,152,103,171,57,286,89,0,132,0,132
1400000US06067006201,06067006201,"Census Tract 62.01, Sacramento County, California",2911,161,1074,158,148,90,19,30,173,121,255,127,242,124,447,164,483,162,66,69,4,21
1400000US06067006202,06067006202,"Census Tract 62.02, Sacramento County, California",1699,57,859,125,107,49,0,132,239,91,146,75,84,53,59,40,118,54,70,51,17,19
1400000US06067006300,06067006300,"Census Tract 63, Sacramento County, California",1843,56,1437,98,78,55,37,51,80,55,101,61,45,37,18,15,0,132,25,31,22,34
1400000US06067006400,06067006400,"Census Tract 64, Sacramento County, California",2008,46,1423,123,112,69,0,132,150,68,33,50,0,132,31,48,0,132,259,56,0,132
1400000US06067006500,06067006500,"Census Tract 65, Sacramento County, California",2023,91,1602,141,119,86,84,72,48,48,0,132,60,45,110,65,0,132,0,132,0,132
1400000US06067006600,06067006600,"Census Tract 66, Sacramento County, California",2377,63,1690,176,64,56,134,86,154,64,147,98,0,132,37,49,87,46,64,57,0,132
1400000US06067006701,06067006701,"Census Tract 67.01, Sacramento County, California",2563,69,1607,163,74,64,21,24,193,79,395,154,133,94,0,132,117,51,23,26,0,132
1400000US06067006702,06067006702,"Census Tract 67.02, Sacramento County, California",2142,92,1596,150,111,75,26,38,277,104,79,63,0,132,0,132,40,32,13,18,0,132
