GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001433900,06001433900,"Census Tract 4339, Alameda County, California",7478,703,4081,639,3397,734
1400000US06001434000,06001434000,"Census Tract 4340, Alameda County, California",5357,475,2535,337,2822,466
1400000US06001435102,06001435102,"Census Tract 4351.02, Alameda County, California",5979,398,4541,342,1438,394
1400000US06001435103,06001435103,"Census Tract 4351.03, Alameda County, California",6922,471,6278,462,644,171
1400000US06001435104,06001435104,"Census Tract 4351.04, Alameda County, California",5882,433,3605,416,2277,460
1400000US06001435200,06001435200,"Census Tract 4352, Alameda County, California",4586,394,3500,430,1086,253
1400000US06001435300,06001435300,"Census Tract 4353, Alameda County, California",4628,344,3321,299,1307,278
1400000US06001435400,06001435400,"Census Tract 4354, Alameda County, California",4360,352,2698,231,1662,375
1400000US06001435500,06001435500,"Census Tract 4355, Alameda County, California",4059,298,2202,309,1857,301
1400000US06001435601,06001435601,"Census Tract 4356.01, Alameda County, California",5701,514,2132,363,3569,543
1400000US06001435602,06001435602,"Census Tract 4356.02, Alameda County, California",5493,637,2689,530,2804,378
1400000US06001435700,06001435700,"Census Tract 4357, Alameda County, California",4966,391,2365,455,2601,426
1400000US06001435800,06001435800,"Census Tract 4358, Alameda County, California",5614,433,2590,464,3024,623
1400000US06001435900,06001435900,"Census Tract 4359, Alameda County, California",5446,416,3753,377,1693,325
1400000US06001436000,06001436000,"Census Tract 4360, Alameda County, California",4486,387,2809,341,1677,325
1400000US06001436100,06001436100,"Census Tract 4361, Alameda County, California",6134,324,3391,504,2743,402
1400000US06001436200,06001436200,"Census Tract 4362, Alameda County, California",4149,482,1837,361,2312,465
1400000US06001436300,06001436300,"Census Tract 4363, Alameda County, California",8391,738,4489,451,3902,686
1400000US06001436401,06001436401,"Census Tract 4364.01, Alameda County, California",7758,526,5611,619,2147,543
1400000US06001436402,06001436402,"Census Tract 4364.02, Alameda County, California",2678,253,2112,191,566,274
1400000US06001436500,06001436500,"Census Tract 4365, Alameda County, California",4998,328,2740,321,2258,337
1400000US06001436601,06001436601,"Census Tract 4366.01, Alameda County, California",6915,525,3291,417,3624,435
1400000US06001436602,06001436602,"Census Tract 4366.02, Alameda County, California",5084,351,2869,368,2215,377
1400000US06001436700,06001436700,"Census Tract 4367, Alameda County, California",3280,344,1775,335,1505,258
1400000US06001436800,06001436800,"Census Tract 4368, Alameda County, California",4179,405,2134,330,2045,448
1400000US06001436900,06001436900,"Census Tract 4369, Alameda County, California",6838,418,2463,268,4375,429
1400000US06001437000,06001437000,"Census Tract 4370, Alameda County, California",3508,243,2173,204,1335,168
