,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
59,"Dixon city, CA",0.0,0.191,0.0,0.541,0.0,0.043,0.0,0.0,0.0,0.036,0.0,0.189
60,"Dublin city, CA",0.0,0.021,0.0,0.152,0.0,0.676,0.0,0.0,0.0,0.018,0.0,0.134
61,"East Foothills CDP, CA",0.09,0.033,0.087,0.122,0.238,0.262,0.0,0.0,0.004,0.009,0.094,0.061
62,"East Palo Alto city, CA",0.133,0.0,0.289,0.0,0.312,0.0,0.0,0.0,0.02,0.0,0.246,0.0
63,"East Richmond Heights CDP, CA",0.022,0.014,0.201,0.197,0.115,0.104,0.0,0.0,0.043,0.014,0.14,0.151
64,"El Cerrito city, CA",0.002,0.039,0.034,0.388,0.025,0.174,0.0,0.0,0.002,0.01,0.047,0.278
65,"El Granada CDP, CA",0.0,0.042,0.0,0.765,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.126
66,"El Sobrante CDP, CA",0.068,0.069,0.144,0.162,0.141,0.089,0.0,0.0,0.066,0.046,0.113,0.102
67,"El Verano CDP, CA",0.0,0.09,0.0,0.681,0.0,0.037,0.0,0.0,0.0,0.016,0.0,0.176
68,"Eldridge CDP, CA",0.0,0.043,0.0,0.743,0.0,0.037,0.0,0.0,0.0,0.016,0.0,0.16
69,"Elmira CDP, CA",0.0,0.127,0.0,0.395,0.0,0.158,0.0,0.0,0.0,0.127,0.0,0.193
70,"Emerald Lake Hills CDP, CA",0.0,0.061,0.0,0.582,0.0,0.197,0.0,0.0,0.0,0.005,0.0,0.155
71,"Emeryville city, CA",0.031,0.022,0.108,0.206,0.067,0.3,0.0,0.0,0.018,0.018,0.067,0.161
72,"Fairfax town, CA",0.0,0.019,0.0,0.726,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.248
73,"Fairfield city, CA",0.08,0.085,0.073,0.23,0.03,0.136,0.0,0.0,0.05,0.097,0.064,0.155
74,"Fairview CDP, CA",0.022,0.08,0.04,0.218,0.039,0.323,0.0,0.0,0.006,0.066,0.018,0.188
75,"Fetters Hot Springs-Agua Caliente CDP, CA",0.094,0.077,0.248,0.342,0.009,0.017,0.0,0.0,0.0,0.0,0.094,0.12
76,"Forestville CDP, CA",0.057,0.032,0.363,0.287,0.032,0.006,0.0,0.0,0.013,0.019,0.076,0.115
77,"Foster City city, CA",0.0,0.02,0.0,0.104,0.0,0.759,0.0,0.0,0.0,0.003,0.0,0.113
78,"Fremont city, CA",0.003,0.009,0.021,0.077,0.116,0.603,0.0,0.0,0.004,0.007,0.051,0.11
79,"Fruitdale CDP, CA",0.025,0.025,0.118,0.286,0.18,0.217,0.0,0.0,0.0,0.025,0.037,0.087
80,"Fulton CDP, CA",0.0,0.103,0.0,0.647,0.0,0.043,0.0,0.0,0.0,0.013,0.0,0.194
81,"Geyserville CDP, CA",0.0,0.056,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.111
82,"Gilroy city, CA",0.121,0.087,0.175,0.221,0.096,0.072,0.0,0.0,0.016,0.012,0.102,0.097
83,"Glen Ellen CDP, CA",0.0,0.037,0.0,0.7,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.188
84,"Graton CDP, CA",0.0,0.078,0.0,0.655,0.0,0.009,0.0,0.0,0.0,0.026,0.0,0.233
85,"Green Valley CDP, CA",0.0,0.096,0.0,0.481,0.0,0.188,0.0,0.0,0.0,0.065,0.0,0.171
86,"Guerneville CDP, CA",0.055,0.0,0.689,0.0,0.044,0.0,0.0,0.0,0.017,0.0,0.195,0.0
87,"Half Moon Bay city, CA",0.0,0.048,0.0,0.677,0.0,0.075,0.0,0.0,0.0,0.007,0.0,0.194
88,"Hartley CDP, CA",0.0,0.1,0.0,0.504,0.0,0.11,0.0,0.0,0.0,0.086,0.0,0.201
89,"Hayward city, CA",0.081,0.066,0.092,0.11,0.174,0.221,0.0,0.0,0.025,0.033,0.101,0.098
90,"Healdsburg city, CA",0.024,0.039,0.153,0.58,0.016,0.035,0.0,0.0,0.0,0.0,0.039,0.114
91,"Hercules city, CA",0.041,0.081,0.041,0.214,0.015,0.271,0.0,0.0,0.005,0.096,0.035,0.2
92,"Highlands-Baywood Park CDP, CA",0.0,0.0,0.0,0.345,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.191
93,"Hillsborough town, CA",0.0,0.013,0.0,0.321,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.192
94,"Inverness CDP, CA",0.0,0.0,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.0
95,"Jenner CDP, CA",0.0,0.041,0.0,0.662,0.0,0.054,0.0,0.0,0.0,0.027,0.0,0.216
96,"Kensington CDP, CA",0.0,0.014,0.0,0.415,0.0,0.211,0.0,0.0,0.0,0.0,0.0,0.361
97,"Kentfield CDP, CA",0.0,0.013,0.083,0.628,0.019,0.013,0.0,0.0,0.0,0.003,0.032,0.208
98,"Kenwood CDP, CA",0.0,0.034,0.0,0.711,0.0,0.047,0.0,0.0,0.0,0.027,0.0,0.181
99,"Knightsen CDP, CA",0.013,0.131,0.055,0.364,0.01,0.101,0.0,0.0,0.005,0.078,0.021,0.222
100,"La Honda CDP, CA",0.0,0.125,0.0,0.55,0.0,0.175,0.0,0.0,0.0,0.025,0.0,0.125
101,"Ladera CDP, CA",0.0,0.0,0.0,0.58,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.25
102,"Lafayette city, CA",0.002,0.028,0.091,0.488,0.013,0.124,0.0,0.0,0.002,0.014,0.024,0.216
103,"Lagunitas-Forest Knolls CDP, CA",0.0,0.056,0.0,0.704,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.204
104,"Larkfield-Wikiup CDP, CA",0.0,0.105,0.0,0.67,0.0,0.069,0.0,0.0,0.0,0.007,0.0,0.148
105,"Larkspur city, CA",0.0,0.019,0.069,0.589,0.016,0.032,0.0,0.0,0.0,0.011,0.027,0.239
106,"Lexington Hills CDP, CA",0.0,0.011,0.0,0.67,0.0,0.117,0.0,0.0,0.0,0.021,0.0,0.181
107,"Livermore city, CA",0.004,0.05,0.022,0.388,0.006,0.325,0.0,0.0,0.002,0.018,0.011,0.174
108,"Loma Mar CDP, CA",0.0,0.125,0.0,0.55,0.0,0.175,0.0,0.0,0.0,0.025,0.0,0.125
109,"Los Altos Hills town, CA",0.0,0.008,0.0,0.363,0.0,0.44,0.0,0.0,0.0,0.004,0.0,0.185
110,"Los Altos city, CA",0.0,0.01,0.008,0.238,0.015,0.543,0.0,0.0,0.0,0.006,0.011,0.169
111,"Los Gatos town, CA",0.0,0.033,0.0,0.438,0.0,0.381,0.0,0.0,0.0,0.009,0.0,0.139
112,"Loyola CDP, CA",0.0,0.012,0.0,0.346,0.0,0.438,0.0,0.0,0.0,0.0,0.0,0.204
