Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,Period
5076.0,2017,Santa Clara County,high,not eligible,0.0,0,0.9814814814814816,53,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,37,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.02,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.02,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.02,2017,Santa Clara County,high,not eligible,0.0,0,0.972972972972973,36,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,55,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,55,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5077.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,55,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,22,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,22,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,22,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,22,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.06,2017,Santa Clara County,high,not eligible,0.0,0,1.0,17,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.07,2017,Santa Clara County,high,not eligible,0.0,0,1.0,23,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.07,2017,Santa Clara County,high,not eligible,0.0,0,1.0,23,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.08,2017,Santa Clara County,high,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5078.08,2017,Santa Clara County,high,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5079.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5079.04,2017,Santa Clara County,high,not eligible,0.0,0,1.0,34,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5079.04,2017,Santa Clara County,high,not eligible,0.0,0,1.0,34,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5079.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,59,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5079.06,2017,Santa Clara County,high,not eligible,0.0,0,1.0,33,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5080.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9454545454545454,52,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5080.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,9,0.0,0,0.0,0,,,slump 2008-2012
5080.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,,,slump 2008-2012
5080.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,,,slump 2008-2012
5080.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,,,slump 2008-2012
5081.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5081.01,2017,Santa Clara County,high,not eligible,0.0,0,1.0,44,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5081.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9459459459459459,35,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5081.02,2017,Santa Clara County,high,not eligible,0.0,0,0.9459459459459459,35,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5082.02,2017,Santa Clara County,high,not eligible,0.0,0,1.0,90,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5082.02,2017,Santa Clara County,high,not eligible,0.0,0,1.0,90,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5082.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,57,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5082.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,57,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5082.04,2017,Santa Clara County,high,not eligible,0.0,0,0.975,39,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9761904761904762,41,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9761904761904762,41,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9761904761904762,41,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,27,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,30,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5083.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,30,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5084.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9761904761904762,82,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5084.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9761904761904762,82,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5084.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,33,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5084.04,2017,Santa Clara County,high,not eligible,0.0,0,0.9827586206896552,57,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5085.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,43,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5085.03,2017,Santa Clara County,high,not eligible,0.0,0,1.0,43,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5085.04,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,30,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5085.05,2017,Santa Clara County,high,not eligible,0.0,0,1.0,43,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5085.07,2017,Santa Clara County,mid,not eligible,0.0,0,0.84375,27,0.0,0,0.0,0,,,slump 2008-2012
5085.07,2017,Santa Clara County,mid,not eligible,0.0,0,0.84375,27,0.0,0,0.0,0,,,slump 2008-2012
5085.08,2017,Santa Clara County,mid,not eligible,0.0,0,0.9615384615384616,25,0.0,0,0.0,0,,,slump 2008-2012
5086.01,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,50,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5086.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.9615384615384616,50,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5087.03,2017,Santa Clara County,high,not eligible,0.0,0,0.9428571428571428,231,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5087.04,2017,Santa Clara County,mid,not eligible,0.0,0,0.9906976744186048,213,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5087.04,2017,Santa Clara County,mid,not eligible,0.0,0,0.9906976744186048,213,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5088.0,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,31,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5089.0,2017,Santa Clara County,mid,not eligible,0.0,0,0.967741935483871,60,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5090.0,2017,Santa Clara County,mod,eligible,0.9770114942528736,85,0.0,0,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.02,2017,Santa Clara County,mid,not eligible,0.0,0,0.953125,61,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.05,2017,Santa Clara County,mid,not eligible,0.0,0,0.9142857142857144,64,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.06,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,21,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.07,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,6,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.08,2017,Santa Clara County,mid,not eligible,0.0,0,1.0,94,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5091.09,2017,Santa Clara County,high,not eligible,0.0,0,0.9710144927536232,134,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
5092.01,2017,Santa Clara County,high,not eligible,0.0,0,0.9104477611940298,61,0.0,0,0.0,0,6.0,85.0,slump 2008-2012
