Tract,Year,CRA Eligible
6013362000,2009,not eligible
6075060900,2009,eligible
6013363000,2009,not eligible
6013363000,2009,not eligible
6013363000,2009,not eligible
6013364001,2009,not eligible
6013364001,2009,not eligible
6013364002,2009,not eligible
6013364002,2009,not eligible
6013365001,2009,eligible
6013365001,2009,eligible
6013365002,2009,eligible
6013365002,2009,eligible
6013366001,2009,eligible
6013366001,2009,eligible
6013370000,2009,not eligible
6013370000,2009,not eligible
6013370000,2009,not eligible
6013371000,2009,eligible
6013378000,2009,not eligible
6013378000,2009,not eligible
6075030101,2009,not eligible
6075047701,2009,eligible
6013379000,2009,eligible
6013380000,2009,not eligible
6013381000,2009,eligible
6013382000,2009,eligible
6013382000,2009,eligible
6075030201,2009,not eligible
6013386000,2009,not eligible
6013386000,2009,not eligible
6075047800,2009,not eligible
6041105000,2009,eligible
6041105000,2009,eligible
6075047901,2009,not eligible
6041101200,2009,not eligible
6041101200,2009,not eligible
6081601100,2009,not eligible
6041102201,2009,not eligible
6041103200,2009,not eligible
6041103200,2009,not eligible
6081601200,2009,not eligible
6081601200,2009,not eligible
6081601200,2009,not eligible
6041104102,2009,eligible
6081600200,2009,eligible
6081600200,2009,eligible
6041104300,2009,not eligible
6041104300,2009,not eligible
6075015700,2009,not eligible
6075047600,2009,not eligible
6041106001,2009,not eligible
6041106001,2009,not eligible
6041106001,2009,not eligible
6041112100,2009,not eligible
6041112100,2009,not eligible
6041106002,2009,not eligible
6041106002,2009,not eligible
6041106002,2009,not eligible
6075016300,2009,eligible
6075016500,2009,eligible
6075016600,2009,not eligible
6075016700,2009,not eligible
6075016800,2009,eligible
6055200201,2009,not eligible
6041110200,2009,not eligible
6041110200,2009,not eligible
6055200502,2009,not eligible
6041111000,2009,not eligible
6075017700,2009,eligible
6041112200,2009,eligible
6055200503,2009,eligible
6055200600,2009,not eligible
6055200600,2009,not eligible
6085504410,2009,not eligible
6085504803,2009,not eligible
6075010200,2009,not eligible
6041121200,2009,not eligible
6041121200,2009,not eligible
6041121200,2009,not eligible
6075010300,2009,not eligible
6075010400,2009,not eligible
6075010600,2009,eligible
6075010700,2009,eligible
6075010800,2009,eligible
6075010900,2009,not eligible
6075011000,2009,eligible
6041129000,2009,eligible
6041130200,2009,not eligible
6041130200,2009,not eligible
6041130200,2009,not eligible
6041131000,2009,not eligible
6041131000,2009,not eligible
6041131000,2009,not eligible
6055200701,2009,not eligible
6055200701,2009,not eligible
6055200702,2009,not eligible
6055200702,2009,not eligible
6075011200,2009,not eligible
6075011300,2009,eligible
6055200802,2009,not eligible
6055200802,2009,not eligible
6055201001,2009,not eligible
6055201001,2009,not eligible
6055201001,2009,not eligible
6055201002,2009,eligible
6055201002,2009,eligible
6055201002,2009,eligible
6055201100,2009,not eligible
6055201100,2009,not eligible
6055201400,2009,not eligible
6055201400,2009,not eligible
6075011500,2009,eligible
6075011900,2009,eligible
6075012000,2009,eligible
6081601000,2009,not eligible
6081601000,2009,not eligible
6075012200,2009,eligible
6075017901,2009,not eligible
6075020200,2009,eligible
6081601300,2009,eligible
6081601300,2009,eligible
6081601400,2009,not eligible
6081601501,2009,not eligible
6075015200,2009,not eligible
6081601601,2009,eligible
6081601601,2009,eligible
6081601601,2009,eligible
6075015800,2009,eligible
6075015900,2009,eligible
6075016000,2009,eligible
6075016900,2009,not eligible
6075017100,2009,not eligible
6081601604,2009,not eligible
6081601605,2009,not eligible
6075020600,2009,not eligible
6075020700,2009,not eligible
6075020800,2009,eligible
6075020900,2009,eligible
6075021000,2009,eligible
6081601900,2009,not eligible
6075030900,2009,not eligible
6081602000,2009,not eligible
6081602000,2009,not eligible
6081602100,2009,eligible
6075021100,2009,not eligible
6075060400,2009,not eligible
6081600700,2009,eligible
6081602300,2009,not eligible
6081602300,2009,not eligible
6081602300,2009,not eligible
6075060600,2009,eligible
6075040100,2009,not eligible
6075040200,2009,not eligible
6075042600,2009,not eligible
6081600100,2009,not eligible
6081600100,2009,not eligible
6081600100,2009,not eligible
6081600100,2009,not eligible
6081600500,2009,not eligible
6081600500,2009,not eligible
6081600600,2009,eligible
6075060300,2009,eligible
6081602700,2009,not eligible
6081604101,2009,eligible
6081604101,2009,eligible
6081602800,2009,not eligible
6081602800,2009,not eligible
6081604102,2009,not eligible
6081604102,2009,not eligible
6085504802,2009,not eligible
6085504802,2009,not eligible
6081603900,2009,not eligible
6081603900,2009,not eligible
6081604000,2009,not eligible
6081604200,2009,not eligible
6081604200,2009,not eligible
6081604200,2009,not eligible
6081604300,2009,
6081607600,2009,not eligible
6081607500,2009,not eligible
6081607701,2009,not eligible
6081607900,2009,not eligible
6081608004,2009,not eligible
6081608502,2009,not eligible
6081608013,2009,not eligible
6081608023,2009,not eligible
6081610202,2009,eligible
6081608400,2009,eligible
6081608501,2009,not eligible
6081608600,2009,not eligible
6081608600,2009,not eligible
6081609100,2009,not eligible
6081609100,2009,not eligible
6081609100,2009,not eligible
6081609300,2009,not eligible
6081610800,2009,eligible
6081610900,2009,not eligible
6081610000,2009,not eligible
6081610201,2009,eligible
6081610500,2009,eligible
6081610500,2009,eligible
6081611300,2009,not eligible
6081611300,2009,not eligible
6081611500,2009,not eligible
6081611400,2009,not eligible
6081611600,2009,not eligible
6081611700,2009,eligible
6081611700,2009,eligible
6081611800,2009,eligible
6081611800,2009,eligible
6081611900,2009,eligible
6081611900,2009,eligible
6081612000,2009,eligible
6081612100,2009,eligible
6081612100,2009,eligible
6081612200,2009,not eligible
6085500100,2009,eligible
6085500200,2009,eligible
6085500400,2009,not eligible
6085500300,2009,eligible
6085500500,2009,not eligible
6085500500,2009,not eligible
6085503217,2009,eligible
6085503217,2009,eligible
6085503709,2009,eligible
6085503709,2009,eligible
6085501200,2009,eligible
6085501400,2009,eligible
6085501502,2009,eligible
6085501600,2009,eligible
6085501700,2009,eligible
6085501800,2009,eligible
6085501900,2009,eligible
6085501900,2009,eligible
6085501900,2009,eligible
6085509403,2009,eligible
6085502001,2009,eligible
6085502001,2009,eligible
6085502001,2009,eligible
6085503003,2009,not eligible
6085502300,2009,not eligible
6085503306,2009,eligible
6085502400,2009,not eligible
6085502500,2009,not eligible
6085502602,2009,not eligible
6085502602,2009,not eligible
6085504412,2009,not eligible
6085503002,2009,not eligible
6085503103,2009,eligible
6085503103,2009,eligible
6085503106,2009,eligible
6085503108,2009,eligible
6085503108,2009,eligible
6085503116,2009,not eligible
6085503115,2009,eligible
6085503115,2009,eligible
6085503204,2009,eligible
6085503204,2009,eligible
6085503204,2009,eligible
6085503207,2009,not eligible
6085503207,2009,not eligible
6085503208,2009,not eligible
6085503208,2009,not eligible
6085503210,2009,eligible
6085503210,2009,eligible
6085503212,2009,not eligible
6085503213,2009,eligible
6085503213,2009,eligible
6085503304,2009,eligible
6085503305,2009,not eligible
6085503317,2009,not eligible
6085503321,2009,not eligible
6085503321,2009,not eligible
6085503402,2009,eligible
6085503506,2009,eligible
6085503507,2009,not eligible
6085503706,2009,eligible
6085503802,2009,not eligible
6085503802,2009,not eligible
6085503802,2009,not eligible
6085503900,2009,eligible
6085503900,2009,eligible
6085503900,2009,eligible
6085503900,2009,eligible
6085504101,2009,eligible
6085504101,2009,eligible
6085504101,2009,eligible
6085504102,2009,eligible
6085504102,2009,eligible
6085504102,2009,eligible
6085504102,2009,eligible
6085504310,2009,not eligible
6085504311,2009,not eligible
6085504504,2009,eligible
6085504505,2009,not eligible
6085504505,2009,not eligible
6085504506,2009,not eligible
6085504700,2009,eligible
6085504700,2009,eligible
6085504700,2009,eligible
6085504601,2009,eligible
6085504601,2009,eligible
6085504601,2009,eligible
6085504805,2009,not eligible
6085504805,2009,not eligible
6085504806,2009,not eligible
6085505001,2009,not eligible
6085505001,2009,not eligible
6085509404,2009,eligible
6085505202,2009,eligible
6085505202,2009,eligible
6085505203,2009,not eligible
6085505203,2009,not eligible
6085505301,2009,eligible
6085505301,2009,eligible
6085505303,2009,eligible
6085505700,2009,eligible
6085505700,2009,eligible
6085505800,2009,not eligible
6085505800,2009,not eligible
6085505900,2009,not eligible
6085505900,2009,not eligible
6085506202,2009,not eligible
6085506304,2009,not eligible
6085506305,2009,eligible
6085506401,2009,eligible
6085506401,2009,eligible
